"school","sex","age","address.type","famsize","divorced","mom.edu","dad.edu","mom.occ","dad.occ","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher.edu","home.internet","romantic","famrel","freetime","goout","weekday.alc","weekend.alc","health.status","absences","first.period.grade","second.period.grade","final.grade","drinking1","drinking2","drinking"
"GP","M",16,"R","greater than 3","1","university or higher","university or higher","other","teacher","reputation","mother",2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,75,80,75,5,2,1
"GP","F",15,"R","greater than 3","0","high school","university or higher","services","health","course","mother",1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,60,60,55,5,2,1
"GP","F",15,"R","greater than 3","0","middle school","middle school","at_home","other","reputation","mother",1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,70,65,65,5,2,1
"GP","F",16,"U","less than or equal to 3","0","middle school","middle school","other","other","home","mother",2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,35,50,55,5,4,1.5
"GP","M",15,"U","less than or equal to 3","0","university or higher","university or higher","teacher","other","home","other",1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,60,60,60,10,8,3
"GP","M",15,"U","greater than 3","0","university or higher","university or higher","services","teacher","course","father",1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,95,90,90,5,2,1
"GP","M",15,"U","greater than 3","0","middle school","middle school","services","services","course","father",1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,40,40,55,5,2,1
"GP","F",16,"U","less than or equal to 3","0","middle school","middle school","other","at_home","course","father",2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,50,50,45,10,4,2
"GP","F",15,"U","less than or equal to 3","1","university or higher","high school","other","other","course","mother",1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,40,40,30,5,2,1
"GP","F",16,"U","less than or equal to 3","1","high school","high school","other","services","home","mother",1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,55,60,55,5,8,2.5
"GP","M",16,"U","greater than 3","0","university or higher","high school","health","services","reputation","mother",1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,95,95,100,5,2,1
"GP","M",15,"U","greater than 3","0","university or higher","middle school","teacher","other","home","mother",1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,75,75,70,10,4,2
"GP","F",15,"U","greater than 3","0","university or higher","university or higher","services","teacher","other","father",1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,35,35,35,5,2,1
"GP","F",16,"U","less than or equal to 3","0","middle school","middle school","services","services","course","mother",3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,60,65,65,10,6,2.5
"GP","F",15,"U","less than or equal to 3","0","university or higher","middle school","health","other","other","mother",1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,55,65,65,5,2,1
"GP","M",15,"U","less than or equal to 3","1","university or higher","middle school","health","health","other","father",2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,55,55,50,15,8,3.5
"GP","F",15,"U","greater than 3","0","university or higher","university or higher","services","services","course","mother",1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,40,50,55,10,6,2.5
"GP","F",15,"U","less than or equal to 3","1","high school","high school","other","other","other","mother",1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,50,65,65,20,8,4
"GP","F",16,"U","greater than 3","1","middle school","elementary school","other","other","other","mother",1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,40,45,50,5,2,1
"GP","F",15,"U","greater than 3","1","university or higher","high school","services","services","reputation","mother",1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,70,75,75,5,2,1
"GP","M",15,"U","greater than 3","0","university or higher","university or higher","teacher","health","reputation","mother",1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,70,75,75,5,2,1
"GP","M",15,"U","less than or equal to 3","0","elementary school","middle school","other","at_home","home","father",1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,45,50,45,5,2,1
"GP","F",16,"U","greater than 3","0","university or higher","middle school","services","other","course","mother",1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,75,80,80,5,2,1
"GP","F",16,"R","greater than 3","0","university or higher","university or higher","health","teacher","other","mother",1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,50,55,55,10,6,2.5
"GP","F",16,"U","greater than 3","0","elementary school","elementary school","services","services","course","father",4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,50,40,55,25,10,5
"GP","F",16,"U","less than or equal to 3","0","elementary school","middle school","other","services","reputation","father",1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,40,50,45,5,2,1
"GP","F",16,"U","greater than 3","0","university or higher","high school","teacher","health","home","mother",1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,50,45,45,10,8,3
"GP","F",15,"U","less than or equal to 3","0","university or higher","high school","services","services","reputation","father",1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,50,50,50,10,8,3
"GP","F",16,"U","less than or equal to 3","0","university or higher","high school","teacher","services","course","mother",3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,80,75,75,5,4,1.5
"GP","M",15,"U","greater than 3","1","university or higher","university or higher","other","services","reputation","mother",1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,65,65,60,25,10,5
"GP","F",16,"U","greater than 3","0","high school","elementary school","services","other","course","mother",1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,35,35,30,5,4,1.5
"GP","F",15,"R","less than or equal to 3","0","middle school","middle school","health","services","reputation","mother",2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,40,45,40,5,6,2
"GP","F",15,"R","less than or equal to 3","0","high school","elementary school","other","other","reputation","father",2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,80,80,80,10,6,2.5
"GP","M",16,"U","greater than 3","0","high school","elementary school","other","other","reputation","father",2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,65,75,75,5,2,1
"GP","M",15,"U","greater than 3","0","university or higher","middle school","other","other","course","mother",1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,50,50,50,5,2,1
"GP","F",15,"R","greater than 3","0","elementary school","elementary school","other","other","reputation","mother",1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,40,30,25,10,8,3
"GP","M",16,"U","greater than 3","0","high school","elementary school","other","other","reputation","mother",1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,60,60,70,10,4,2
"GP","F",16,"U","greater than 3","0","high school","high school","other","services","home","mother",1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,55,60,55,10,8,3
"GP","M",15,"U","greater than 3","0","university or higher","high school","teacher","other","home","mother",1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,45,45,50,10,6,2.5
"GP","M",15,"U","greater than 3","0","university or higher","no education","teacher","other","course","mother",2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,55,55,50,5,2,1
"GP","F",16,"U","greater than 3","0","middle school","middle school","other","other","reputation","mother",1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,55,55,55,5,6,2
"GP","M",17,"U","greater than 3","0","middle school","elementary school","other","other","home","mother",2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,40,40,50,5,2,1
"GP","F",16,"U","greater than 3","0","high school","university or higher","at_home","other","course","mother",1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,25,25,25,5,4,1.5
"GP","M",15,"U","greater than 3","0","middle school","high school","other","services","course","father",1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,50,60,60,5,6,2
"GP","M",15,"U","greater than 3","0","middle school","high school","other","other","home","mother",1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,55,50,55,5,4,1.5
"GP","F",15,"U","less than or equal to 3","0","high school","middle school","services","other","reputation","mother",1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,35,30,30,5,2,1
"GP","M",15,"U","less than or equal to 3","0","middle school","middle school","services","services","home","mother",2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,75,75,75,5,6,2
"GP","F",15,"U","greater than 3","0","elementary school","elementary school","other","other","home","father",1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,45,50,50,10,6,2.5
"GP","F",15,"U","greater than 3","0","university or higher","university or higher","services","services","reputation","father",2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,35,45,40,10,6,2.5
"GP","F",16,"U","less than or equal to 3","0","middle school","middle school","at_home","other","course","mother",1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,40,35,30,5,4,1.5
"GP","F",15,"U","greater than 3","0","university or higher","middle school","other","other","reputation","mother",1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,65,70,70,5,6,2
"GP","M",16,"U","greater than 3","0","middle school","middle school","services","other","reputation","father",2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,55,50,50,5,2,1
"GP","M",16,"U","less than or equal to 3","1","university or higher","university or higher","teacher","health","reputation","mother",1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,40,30,35,15,10,4
"GP","F",16,"U","greater than 3","0","high school","high school","other","other","home","mother",1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,35,35,40,5,6,2
"GP","F",15,"U","greater than 3","0","university or higher","high school","services","other","reputation","mother",1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,80,85,90,5,6,2
"GP","F",16,"U","less than or equal to 3","0","high school","elementary school","other","other","home","father",1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,35,30,30,10,6,2.5
"GP","F",16,"U","greater than 3","0","university or higher","middle school","teacher","services","home","mother",2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,55,50,50,5,2,1
"GP","M",15,"U","less than or equal to 3","0","middle school","middle school","services","health","reputation","mother",1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6,55,65,70,5,2,1
"GP","F",15,"R","greater than 3","0","elementary school","elementary school","at_home","other","home","mother",2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,35,50,50,5,2,1
"GP","M",16,"R","greater than 3","0","university or higher","high school","services","other","reputation","mother",2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2,55,75,75,5,2,1
"GP","F",16,"U","greater than 3","0","middle school","elementary school","other","other","course","mother",1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2,40,45,50,5,2,1
"GP","F",16,"U","greater than 3","0","university or higher","university or higher","other","other","reputation","mother",1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,55,70,70,5,4,1.5
"GP","F",16,"U","greater than 3","0","university or higher","high school","other","at_home","course","mother",1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0,35,45,40,5,2,1
"GP","M",16,"U","greater than 3","0","university or higher","university or higher","services","services","other","mother",1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,35,35,25,25,10,5
"GP","M",16,"U","greater than 3","0","university or higher","university or higher","services","teacher","other","father",1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0,80,85,85,5,2,1
"GP","M",15,"U","greater than 3","0","university or higher","university or higher","services","other","course","mother",1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4,50,65,70,5,2,1
"GP","F",15,"U","greater than 3","0","high school","middle school","services","other","home","mother",2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26,35,30,30,5,2,1
"GP","M",15,"U","greater than 3","1","high school","university or higher","services","other","course","mother",1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0,80,90,90,5,2,1
"GP","F",15,"U","greater than 3","1","high school","high school","other","health","reputation","father",1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,50,55,55,5,2,1
"GP","F",15,"U","greater than 3","0","middle school","middle school","other","other","course","mother",1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8,35,40,40,5,2,1
"GP","M",16,"U","greater than 3","0","high school","high school","services","other","home","father",1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,80,90,90,5,2,1
"GP","M",15,"R","greater than 3","0","university or higher","university or higher","other","other","home","father",4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6,50,65,65,15,10,4
"GP","F",16,"U","less than or equal to 3","0","university or higher","university or higher","health","health","other","mother",1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4,70,75,80,5,2,1
"GP","M",15,"U","less than or equal to 3","1","university or higher","university or higher","teacher","teacher","course","mother",1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6,90,95,95,5,2,1
"GP","F",16,"R","greater than 3","0","high school","high school","services","other","reputation","father",1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0,35,50,50,5,2,1
"GP","F",16,"U","greater than 3","0","middle school","middle school","at_home","other","home","mother",1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6,50,65,65,5,2,1
"GP","M",15,"U","less than or equal to 3","0","university or higher","middle school","teacher","other","course","mother",1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10,90,95,95,5,2,1
"GP","M",15,"R","greater than 3","0","middle school","elementary school","health","services","reputation","mother",1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8,45,45,45,5,2,1
"GP","M",16,"U","greater than 3","0","university or higher","university or higher","teacher","teacher","course","father",1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2,75,75,80,5,4,1.5
"GP","M",15,"U","greater than 3","0","university or higher","university or higher","other","teacher","reputation","father",2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2,55,65,70,5,2,1
"GP","M",16,"U","greater than 3","0","high school","high school","other","services","home","father",2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0,65,70,65,5,2,1
"GP","M",17,"R","greater than 3","0","elementary school","high school","other","other","course","father",3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20,45,35,40,5,8,2.5
"GP","M",15,"U","greater than 3","0","high school","university or higher","other","other","reputation","father",1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6,70,65,65,5,4,1.5
"GP","F",15,"U","greater than 3","0","elementary school","middle school","at_home","services","course","mother",1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2,80,75,75,5,4,1.5
"GP","M",15,"U","greater than 3","0","middle school","middle school","services","services","home","father",1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6,80,70,75,5,4,1.5
"GP","F",16,"U","less than or equal to 3","0","middle school","university or higher","other","health","course","father",2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2,65,65,65,5,4,1.5
"GP","M",16,"U","greater than 3","0","university or higher","university or higher","health","other","course","mother",1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18,70,55,65,5,8,2.5
"GP","F",16,"U","greater than 3","0","middle school","middle school","other","other","home","mother",1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0,40,35,40,5,2,1
"GP","M",15,"U","greater than 3","0","high school","university or higher","services","services","home","father",1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0,65,65,60,15,4,2.5
"GP","F",15,"U","less than or equal to 3","1","high school","university or higher","other","other","home","mother",1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0,35,50,55,5,2,1
"GP","F",19,"U","greater than 3","0","no education","elementary school","at_home","other","course","other",1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,35,40,45,5,2,1
"GP","M",18,"R","greater than 3","0","middle school","middle school","services","other","reputation","mother",1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,35,20,0,5,4,1.5
"GP","M",16,"R","greater than 3","0","university or higher","university or higher","teacher","teacher","course","mother",1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8,90,90,90,10,10,3.5
"GP","F",15,"R","greater than 3","0","high school","university or higher","services","teacher","course","father",2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0,60,0,0,10,4,2
"GP","F",15,"U","greater than 3","0","elementary school","elementary school","at_home","other","course","mother",3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0,40,0,0,5,4,1.5
"GP","F",17,"U","less than or equal to 3","0","middle school","middle school","other","other","course","father",1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12,50,65,60,5,6,2
"GP","F",16,"U","greater than 3","1","high school","university or higher","services","other","course","father",1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,60,55,55,5,8,2.5
"GP","M",15,"R","greater than 3","0","high school","university or higher","at_home","teacher","course","mother",4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,45,0,0,5,2,1
"GP","F",15,"U","greater than 3","0","university or higher","university or higher","services","at_home","course","mother",1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,55,0,0,5,2,1
"GP","M",17,"R","greater than 3","0","high school","university or higher","at_home","other","course","mother",3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0,50,0,0,10,8,3
"GP","F",16,"U","greater than 3","1","high school","high school","other","other","course","other",2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0,20,0,0,5,2,1
"GP","M",16,"U","less than or equal to 3","0","elementary school","elementary school","services","other","course","mother",1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,70,60,60,5,6,2
"GP","F",15,"U","greater than 3","0","university or higher","university or higher","teacher","teacher","course","mother",2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0,80,80,75,5,2,1
"GP","M",15,"U","greater than 3","0","university or higher","high school","teacher","services","course","father",2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0,35,45,0,5,2,1
"GP","M",16,"U","less than or equal to 3","0","middle school","middle school","services","services","reputation","father",2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8,45,45,45,10,4,2
"GP","F",15,"U","greater than 3","0","university or higher","university or higher","teacher","services","course","mother",1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,45,55,55,5,2,1
"GP","F",16,"U","less than or equal to 3","0","elementary school","elementary school","at_home","at_home","course","mother",1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2,70,70,65,15,6,3
"GP","M",17,"U","greater than 3","0","middle school","elementary school","other","other","home","mother",1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,25,0,0,5,4,1.5
"GP","F",15,"U","greater than 3","0","elementary school","elementary school","other","services","course","father",1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0,40,55,55,5,4,1.5
"GP","F",15,"U","greater than 3","0","high school","middle school","health","services","home","father",1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0,30,35,0,5,2,1
"GP","F",15,"U","greater than 3","0","elementary school","middle school","at_home","other","course","mother",1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2,50,55,55,5,2,1
"GP","M",16,"U","greater than 3","0","university or higher","university or higher","teacher","teacher","course","mother",1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0,35,30,0,10,2,1.5
"GP","M",15,"U","less than or equal to 3","1","middle school","elementary school","services","other","course","mother",4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0,40,45,50,10,10,3.5
"GP","M",18,"U","less than or equal to 3","0","elementary school","elementary school","other","other","course","mother",1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0,30,25,0,10,10,3.5
"GP","M",16,"U","less than or equal to 3","0","middle school","elementary school","at_home","other","course","mother",1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6,60,65,70,15,10,4
"GP","F",15,"R","greater than 3","0","high school","high school","services","services","reputation","other",2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8,50,50,50,10,6,2.5
"GP","M",19,"U","greater than 3","0","high school","middle school","services","at_home","home","mother",1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0,25,0,0,5,2,1
"GP","F",17,"U","greater than 3","0","university or higher","university or higher","other","teacher","course","mother",1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0,55,55,60,5,2,1
"GP","M",15,"R","greater than 3","0","middle school","high school","at_home","services","course","mother",1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2,55,40,40,5,2,1
"GP","M",17,"R","less than or equal to 3","0","elementary school","middle school","other","other","reputation","mother",1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,80,60,65,15,6,3
